Construction,Science,Colonizer,Sponsored Colonizer,Corvette,Destroyer,Cruiser,Battleship,Titan,Colossus,Juggernaut,Transport,Defense Platform,Ion Cannon,Science Ship Class Names,Corvette Class Names,Destroyer Class Names,Cruiser Class Names,Battleship Class Names,Titan Class Names,Colossus Class Names,Juggernaut Class Names,Defense Platform Class Names,Ion Cannon Class Names
,,Homebound,Homebound,Through the Valley,Calculated Strike,Patient Resolve,Gravitas,Prometheus,,,,,,,,Trinity,Ascent,Vigilance,,,,Watchtower,Tempest
,,Shelter,Shelter,No Safe Harbor,Steel Intent,Silent Covenant,Bastion,Event Horizon,,,,,,,,Phoenix,Horizon,Shieldbreaker,,,,Watchman,Thunderbolt
,,Newhaven,Newhaven,Close the Distance,Kinetic Resolve,Uplifted Purpose,Overseer,,,,,,,,,Valkyrie,Hallowed,Eclipse,,,,Guardian,Stormcaller
,,Calmreach,Calmreach,Against All Odds,Grave Consideration,Golden Vigil,Sentinel,,,,,,,,,Thunder,Beacon,Unwavering,,,,Aegis,Javelin
,,Brightwater,Brightwater,By Any Measure,Dominant Position,Enduring Accord,Aegis,,,,,,,,,,Spear,Spear,,,,Sentinel,Lance
,,Halloway,Halloway,No Second Chances,Stern Judgment,Watchful Promise,Custodian,,,,,,,,,,Aegis,Gravitas,,,,,Spear
,,Sunward,Sunward,Last Light Burning,Terminal Intent,Hallowed Advance,Bulwark,,,,,,,,,,Paladin,Overseer,,,,,Judgement
,,Tranquility,Tranquility,Edge of Reason,Cold Resolve,Measured Vigilance,Wardship,,,,,,,,,,,Sentinel,,,,,Long Reach
,,,,Blood Earned,Force Projection,Radiant Ascent,Steadfast,,,,,,,,,,,Aegis,,,,,Skybreaker
,,,,Stand Your Ground,Hard Directive,Steady Horizon,Paladin,,,,,,,,,,,Paladin,,,,,Sunspear
,,,,One Last Push,Forward Posture,Consecrated Will,Justicar,,,,,,,,,,,Justicar,,,,,Stormlance
,,,,Close Quarters,Operational Edge,Guided Conviction,Protector,,,,,,,,,,,Protector,,,,,Starhammer
,,,,No Way Out,Grim Determination,Unyielding Beacon,Vanguard,,,,,,,,,,,Vanguard,,,,,
,,,,Hard to Kill,Tactical Supremacy,Faithful Horizon,Safeguard,,,,,,,,,,,Defender,,,,,
,,,,Last One Standing,Calculated Force,Light Beyond Measure,Watchman,,,,,,,,,,,Bastille,,,,,
,,,,Stand and Deliver,Steel Mandate,Quiet Dominion,Citadel,,,,,,,,,,,Shieldwall,,,,,
,,,,No Turning Back,Lethal Vector,Enduring Promise,Defender,,,,,,,,,,,Pillar,,,,,
,,,,Hold the Line,Controlled Impact,Measured Vigil,Bastille,,,,,,,,,,,Shieldbearer,,,,,
,,,,Earned the Hard Way,Command Decision,Noble Bearing,Reliquary,,,,,,,,,,,Sentience,,,,,
,,,,Stay the Course,Final Vector,Patient Covenant,Preserver,,,,,,,,,,,Highwarden,,,,,
,,,,Right to the End,Hard Authority,Steady Ascent,Standfast,,,,,,,,,,,Safekeeper,,,,,
,,,,Never Back Down,Kinetic Posture,Luminous Charge,Shieldwall,,,,,,,,,,,Hunter,,,,,
,,,,Win or Break,Measured Advance,Watchful Accord,Pillar,,,,,,,,,,,Everest,,,,,
,,,,No Room to Yield,Strategic Pressure,Sacred Horizon,Shieldbearer,,,,,,,,,,,Virtue,,,,,
,,,,Not Without Cost,Force in Being,Guided Resolve,Sentience,,,,,,,,,,,Endurance,,,,,
,,,,Stand to Reason,Cold Arithmetic,Golden Mandate,Highwarden,,,,,,,,,,,Tempest,,,,,
,,,,Take No Comfort,Clear Mandate,Lasting Vigilance,Auctoritas,,,,,,,,,,,Arbiter,,,,,
,,,,Against All Reason,Decisive Margin,Uplifted Watch,Safekeeper,,,,,,,,,,,Odyssey,,,,,
,,,,All or Nothing,Locked Trajectory,Radiant Purpose,Hunter,,,,,,,,,,,Atlas,,,,,
,,,,Weight of Silence,Firm Calculation,Faithbound Course,Everest,,,,,,,,,,,Summit,,,,,
,,,,None Shall Pass,Unyielding Course,Silent Steward,Virtue,,,,,,,,,,,Enduring,,,,,
,,,,Before the Storm,Hard Assessment,Everlasting Oath,Resolute,,,,,,,,,,,Northstar,,,,,
,,,,Cost of Victory,Weight of Force,Unbroken Mandate,Endurance,,,,,,,,,,,Severance,,,,,
,,,,Break the Odds,Grim Intent,Hallowed Bearing,Tempest,,,,,,,,,,,Victory,,,,,
,,,,End of Patience,Force Applied,Clear Conscience,Arbiter,,,,,,,,,,,Mercy,,,,,
,,,,Terms of Engagement,Final Alignment,Ascendant Watch,Odyssey,,,,,,,,,,,Covenant,,,,,
,,,,By Stern Measure,Forward Momentum,Serene Authority,Atlas,,,,,,,,,,,Ascension,,,,,
,,,,Last Best Option,Controlled Violence,Guiding Covenant,Venture,,,,,,,,,,,Anchor,,,,,
,,,,No Further Appeal,Tactical Resolve,Illumed Resolve,Summit,,,,,,,,,,,Infinity,,,,,
,,,,Claim the Field,Operational Finality,Steady Conviction,Reliant,,,,,,,,,,,Trinity,,,,,
,,,,Time on Target,Sustained Pressure,Enduring Beacon,Enduring,,,,,,,,,,,Phoenix,,,,,
,,,,Against the Clock,Pointed Response,Noble Ascent,Harbor,,,,,,,,,,,Valkyrie,,,,,
,,,,No Safe Margin,Steel Determination,Vigilant Accord,Northstar,,,,,,,,,,,,,,,,
,,,,Clear the Way,Command Presence,Consecrated Path,Severance,,,,,,,,,,,,,,,,
,,,,No Easy Exit,Hard Contingency,Measured Oath,Victory,,,,,,,,,,,,,,,,
,,,,Bound by Duty,Calculated Bearing,Boundless Vigil,Mercy,,,,,,,,,,,,,,,,
,,,,On Final Approach,Direct Mandate,Patient Authority,Excalibur,,,,,,,,,,,,,,,,
,,,,End of Argument,Force Concentration,Luminous Promise,Watchtower,,,,,,,,,,,,,,,,
,,,,By Iron Will,Cold Authority,Sacred Continuance,Guardian,,,,,,,,,,,,,,,,
,,,,At All Costs,Orbital Patience,Faithful Mandate,Ascendance,,,,,,,,,,,,,,,,
,,,,Endure and Advance,Fixed Outcome,Steadfast Horizon,Covenant,,,,,,,,,,,,,,,,
,,,,No Margin Left,Sharp Boundary,Golden Continuum,Providence,,,,,,,,,,,,,,,,
,,,,Bound to Finish,Inescapable Angle,Enduring Charge,Ascension,,,,,,,,,,,,,,,,
,,,,Weight Before Words,Hard Intercept,Light of Purpose,Pinnacle,,,,,,,,,,,,,,,,
,,,,Advance Without Pause,Terminal Window,Path of Continuance,Anchor,,,,,,,,,,,,,,,,
,,,,Pay What's Due,Black Interval,Promise Beyond Reach,Foundation,,,,,,,,,,,,,,,,
,,,,Under Full Power,Operational Depth,Watchers of Dawn,Infinity,,,,,,,,,,,,,,,,
,,,,Press Until Broken,Grave Trajectory,Oath Without End,Outrider,,,,,,,,,,,,,,,,
,,,,Stand Beyond Fear,Narrow Margin,Quiet Conviction,Trinity,,,,,,,,,,,,,,,,
,,,,No Further Delay,Steel Silence,Enduring Mandate,Phoenix,,,,,,,,,,,,,,,,
,,,,Hard Limits Enforced,Decisive Contact,Radiant Vigilance,Valkyrie,,,,,,,,,,,,,,,,
,,,,Hold Through Fire,Relentless Arc,Guided Bearing,,,,,,,,,,,,,,,,,
,,,,Driven by Purpose,Closed Equation,Steady Purpose,,,,,,,,,,,,,,,,,
,,,,Carry It Forward,Iron Crossing,Illuminated Accord,,,,,,,,,,,,,,,,,
,,,,No Ground Given,Last Vector,Golden Horizon,,,,,,,,,,,,,,,,,
,,,,Stand Without Mercy,Deep Posture,Serene Resolve,,,,,,,,,,,,,,,,,
,,,,By Measured Force,Pressure Point,Hallowed Continuum,,,,,,,,,,,,,,,,,
,,,,Held Against Fire,Cold Solution,Watchful Bearing,,,,,,,,,,,,,,,,,
,,,,No Terms Given,Absolute Bearing,Lasting Ascent,,,,,,,,,,,,,,,,,
,,,,Under Silent Oath,Hard Alignment,Consecrated Horizon,,,,,,,,,,,,,,,,,
,,,,Lines Held Firm,Zero Latitude,Unbroken Vigilance,,,,,,,,,,,,,,,,,
,,,,Strength Under Pressure,Final Approach Vector,Stewarded Purpose,,,,,,,,,,,,,,,,,
,,,,Chosen by Fire,Tactical Inertia,Luminous Accord,,,,,,,,,,,,,,,,,
,,,,Against Final Measure,Locked Outcome,Calm Dominion,,,,,,,,,,,,,,,,,
,,,,Hard Truth Accepted,Red Horizon,Enduring Steward,,,,,,,,,,,,,,,,,
,,,,Hold Through Darkness,Sealed Fate,Enduring Guardian,,,,,,,,,,,,,,,,,
,,,,Beyond Expected Loss,Orbital Supremacy,Quiet Reliquary,,,,,,,,,,,,,,,,,
,,,,No Path Back,Fixed Decision,Radiant Concord,,,,,,,,,,,,,,,,,
,,,,Intent Made Clear,Hard Boundary,,,,,,,,,,,,,,,,,,
,,,,Weight of Duty,Terminal Balance,,,,,,,,,,,,,,,,,,
,,,,Taken Without Regret,No Deviation Allowed,,,,,,,,,,,,,,,,,,
,,,,Forward No Matter,Iron Wake,,,,,,,,,,,,,,,,,,
,,,,Stand Past Limits,Silent Boundary,,,,,,,,,,,,,,,,,,
,,,,By Cold Judgment,Grave Offset,,,,,,,,,,,,,,,,,,
,,,,Without False Hope,Orbital Fracture,,,,,,,,,,,,,,,,,,
,,,,Final Line Drawn,Cold Wakefield,,,,,,,,,,,,,,,,,,
,,,,Nothing Held Back,Tactical Eclipse,,,,,,,,,,,,,,,,,,
,,,,Duty Above Fear,Dark Bearing,,,,,,,,,,,,,,,,,,
,,,,Beyond Reasonable Doubt,Fixed Crossing,,,,,,,,,,,,,,,,,,
,,,,Endurance Under Fire,Severed Path,,,,,,,,,,,,,,,,,,
,,,,Hard Choices Made,Heavy Silence,,,,,,,,,,,,,,,,,,
,,,,Bound to Advance,Locked Meridian,,,,,,,,,,,,,,,,,,
,,,,No Retreat Given,Orbital Divide,,,,,,,,,,,,,,,,,,
,,,,Until It Breaks,Hard Vectoring,,,,,,,,,,,,,,,,,,
,,,,Bearing the Weight,Narrow Corridor,,,,,,,,,,,,,,,,,,
,,,,Stand Under Orders,Dead Angle,,,,,,,,,,,,,,,,,,
,,,,Taken by Force,Cold Passage,,,,,,,,,,,,,,,,,,
,,,,Past Breaking Point,Iron Parallax,,,,,,,,,,,,,,,,,,
,,,,Strength Over Fear,Fractured Horizon,,,,,,,,,,,,,,,,,,
,,,,Duty Without End,Final Threshold,,,,,,,,,,,,,,,,,,
,,,,No Quarter Given,Hostile Passage,,,,,,,,,,,,,,,,,,
,,,,Hard Line Kept,Silent Escalation,,,,,,,,,,,,,,,,,,
,,,,Chosen to Hold,Broken Symmetry,,,,,,,,,,,,,,,,,,
,,,,Final Stand Taken,,,,,,,,,,,,,,,,,,,
,,,,Settle the Account,,,,,,,,,,,,,,,,,,,
,,,,No Mercy Given,,,,,,,,,,,,,,,,,,,
,,,,Chosen to Advance,,,,,,,,,,,,,,,,,,,
,,,,Marked for Action,,,,,,,,,,,,,,,,,,,
,,,,Through Relentless Fire,,,,,,,,,,,,,,,,,,,
,,,,Taken at Velocity,,,,,,,,,,,,,,,,,,,
,,,,Hold Until Spent,,,,,,,,,,,,,,,,,,,
,,,,Forward Under Fire,,,,,,,,,,,,,,,,,,,
,,,,No Time Remaining,,,,,,,,,,,,,,,,,,,
,,,,By Relentless Measure,,,,,,,,,,,,,,,,,,,
,,,,Committed to Impact,,,,,,,,,,,,,,,,,,,
,,,,Weight of Consequence,,,,,,,,,,,,,,,,,,,
,,,,Under Constant Pressure,,,,,,,,,,,,,,,,,,,
,,,,Nothing Left Unsaid,,,,,,,,,,,,,,,,,,,
,,,,Drawn Into Fire,,,,,,,,,,,,,,,,,,,
,,,,No Choice Remaining,,,,,,,,,,,,,,,,,,,
,,,,Against Heavy Odds,,,,,,,,,,,,,,,,,,,
,,,,Carried Through Fire,,,,,,,,,,,,,,,,,,,
,,,,Flown Beyond Limits,,,,,,,,,,,,,,,,,,,
,,,,Held Until End,,,,,,,,,,,,,,,,,,,
,,,,Bound for Contact,,,,,,,,,,,,,,,,,,,
,,,,Through the Void,,,,,,,,,,,,,,,,,,,
,,,,Without Further Warning,,,,,,,,,,,,,,,,,,,
,,,,Held Against Odds,,,,,,,,,,,,,,,,,,,
